Equivar_Z11,DFPT_Z11,Equivar_Z22,DFPT_Z22,Equivar_Z33,DFPT_Z33
-3.06827163696289,-3.0680854320526123,-1.8229880332946775,-1.8370591402053833,-2.983773946762085,-2.9838955402374268
-3.0682713985443115,-3.0680854320526123,-1.8229881525039675,-1.8370591402053833,-2.983773708343506,-2.9838955402374268
-3.109325647354126,-3.1195240020751953,-1.8820266723632808,-1.8764309883117676,-2.9716062545776367,-2.977994918823242
-3.114595651626587,-3.1195240020751953,-1.8851354122161863,-1.8764309883117676,-2.96268892288208,-2.977994918823242
-3.109325408935547,-3.1195240020751953,-1.882026433944702,-1.8764309883117676,-2.971606492996216,-2.977994918823242
-3.0710582733154297,-3.0680854320526123,-1.8319520950317385,-1.8370591402053833,-2.992315530776977,-2.9838955402374268
-3.114595651626587,-3.1195240020751953,-1.8851354122161863,-1.8764309883117676,-2.96268892288208,-2.977994918823242
2.447713851928711,2.451374053955078,2.378556489944458,2.3778491020202637,2.512230634689331,2.5153558254241943
2.4519248008728027,2.451374053955078,2.380002975463867,2.3778491020202637,2.509551763534546,2.5153558254241943
5.510571479797363,5.5232133865356445,5.439607620239258,5.441915035247803,5.469699859619141,5.477417945861816
5.505173206329346,5.5232133865356445,5.444428443908691,5.441915035247803,5.474147319793701,5.477417945861816
5.510571002960205,5.5232133865356445,5.4396071434021,5.441915035247803,5.469699382781982,5.477417945861816
5.505172729492188,5.5232133865356445,5.444428443908691,5.441915035247803,5.474147796630859,5.477417945861816
2.5810041427612305,2.578282117843628,2.564166784286499,2.557008981704712,2.714395761489868,2.7199666500091553
2.4744043350219727,2.4647951126098633,2.4550564289093018,2.4597420692443848,2.565679788589477,2.572129964828491
2.4066128730773926,2.4079360961914062,2.479447841644287,2.4784135818481445,2.482177495956421,2.4784836769104004
-1.9484083652496336,-1.9517942667007446,-3.993062019348145,-4.013947010040283,-1.9694852828979488,-1.9952988624572754
-3.071250915527344,-3.0631825923919678,-1.8396602869033811,-1.8441170454025269,-3.027527332305908,-3.028153657913208
-1.7726446390151978,-1.784662127494812,-4.087320804595947,-4.085048675537109,-2.183565139770508,-2.204352855682373
-1.7606396675109863,-1.7629793882369995,-4.208446502685547,-4.203547477722168,-1.981429100036621,-1.9812899827957153
